track_uri,track_name,artist_name,release_year,explicit,danceability,energy,speechiness,acousticness,liveness,valence,tempo,track_duration_s,genres
spotify:track:6xepovPqjvrkEw9Y5AMmTm,lambada - original version 1989,kaoma,1989,false,0.756,0.8,0.0329,0.211,0.0466,0.967,118.924,207.47,zouk
spotify:track:2VpdG2QLhVv6qAPdDt9Ipr,lambada - original radio edit,kaoma,1989,false,0.753,0.588,0.0331,0.228,0.0449,0.97,118.915,208.84,zouk
spotify:track:0QWAOOFV9lsnC7fYHeSycS,i'm the urban spaceman - 2007 remaster,the bonzo dog band,1969,false,0.63,0.525,0.0269,0.156,0.369,0.931,89.738,146.13,zolo
spotify:track:3XAiXl3dKpG7b0qcrCtBD4,so long,fischer-z,1980,false,0.556,0.384,0.0407,0.00697,0.0545,0.891,126.841,302.73,zolo
spotify:track:7hfhtzSwQ8TtomJFFLLNwc,the perfect day,fischer-z,1987,false,0.63,0.85,0.0345,0.263,0.115,0.87,149.93,261.23,zolo
spotify:track:11Y3qwzKxzyOrKZx3BgnWD,the world i used to know,jimmie rodgers,2017,false,0.388,0.277,0.0464,0.978,0.169,0.355,80.824,150.08,yodeling
spotify:track:3BSRcRHsiEy4ooWA7jw7Wg,easy lover,"philip bailey, phil collins",1985,false,0.746,0.701,0.0356,0.0635,0.0628,0.934,128.912,304.31,"yacht rock,rock drums,soft rock"
spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,escape (the pina colada song),rupert holmes,1979,false,0.835,0.509,0.0548,0.469,0.0436,0.949,138.711,276.49,yacht rock
spotify:track:79Dl8iYn0PFQG2wqDxPlQU,escape (the pina colada song),rupert holmes,2007,false,0.818,0.691,0.0529,0.357,0.127,0.934,139.697,276.41,yacht rock
spotify:track:3d4I2tQUz16S8gesU2pLSM,she's like the wind,"patrick swayze, wendy fraser",1987,false,0.596,0.349,0.0295,0.273,0.167,0.228,124.932,232.24,yacht rock
spotify:track:2bS2tETCzUmjALnXEvhOGo,lotta love,nicolette larson,1978,false,0.646,0.406,0.0264,0.159,0.27,0.895,113.708,191.77,yacht rock
spotify:track:375ntCG12wzCyfzclwYFwG,"believe it or not (theme from ""greatest american hero"")",joey scarbury,1981,false,0.521,0.743,0.0338,0.249,0.096,0.451,117.129,195.29,yacht rock
spotify:track:3FGcQkWQlkeB82RdZwlw8V,kiss you all over,exile,1986,false,0.741,0.267,0.0285,0.253,0.0987,0.497,102.428,214.4,yacht rock
spotify:track:6nSt8n7r0bznM8PCvHEmPj,you're moving out today,carole bayer sager,1977,false,0.638,0.557,0.111,0.729,0.0986,0.915,112.893,215.05,yacht rock
spotify:track:51fNdmmF7wOzS3BLbt5Zkp,classic,adrian gurvitz,1982,false,0.472,0.574,0.0272,0.469,0.0677,0.409,86.571,294.05,yacht rock
spotify:track:3dxOctKO5d4yf6yasOwTqn,gaw - zaheer remix,"mickie james, chapel hart, zaheer",2021,true,0.538,0.845,0.14,0.25,0.22,0.558,168.273,174.15,"wrestling,black americana"
spotify:track:4zXp1M2eaaJbTP074be40B,i'm your little boy,heintje,1970,false,0.45,0.522,0.0377,0.817,0.254,0.507,126.007,165.92,volksmusik
spotify:track:0OSAJEA0ekX6pr2nuiPzX7,rapture (feat.nadia ali),"iio, nadia ali",2006,false,0.661,0.855,0.0377,0.0722,0.199,0.601,123.943,253.59,"vocal house,vocal trance"
spotify:track:1lItf5ZXJc1by9SbPeljFd,juju on that beat (tz anthem),"zay hilfigerrr, zayion mccall",2016,false,0.807,0.887,0.275,0.00381,0.391,0.78,160.517,144.24,viral trap
spotify:track:2pV8RpdLemcyMWko8dASVt,like i'm gonna lose you,jasmine thompson,2015,false,0.398,0.174,0.0364,0.958,0.158,0.153,172.152,232.34,viral pop
spotify:track:753mHSQFnp1jpiYuqU3byN,stay with me,jasmine thompson,2014,false,0.404,0.185,0.0512,0.891,0.103,0.147,75.342,195.67,viral pop
spotify:track:0kfzWBs3VOMaI0T5yZ0T8W,que sera mi vida,gibson brothers,2011,false,0.591,0.954,0.046,0.000306,0.0778,0.676,131.172,352.53,vintage french electronic
spotify:track:43L7sXzJLKnto5PpKLf28r,pass the dutchie,musical youth,1994,false,0.799,0.409,0.101,0.442,0.286,0.966,149.745,205.43,uk reggae
spotify:track:3Iba59sFmGhQ4kbCY5L8AX,little bit of love,tom grennan,2021,false,0.689,0.706,0.0312,0.0833,0.105,0.623,106.52,226.27,uk pop
spotify:track:1tMSsGhbQtMI4uPfUT2Mdo,when the beat drops out,marlon roudette,2014,false,0.613,0.647,0.0576,0.238,0.0992,0.354,109.128,204.03,uk pop
spotify:track:2Inz7gGPGgieN0CTw9TOOs,september song,jp cooper,2017,false,0.622,0.609,0.038,0.0455,0.0903,0.398,95.955,220.29,uk pop
spotify:track:5tZWtGT65sMrDVPB5H444n,castles,freya ridings,2019,false,0.672,0.752,0.0843,0.0046,0.056,0.429,116.945,211.84,uk pop
spotify:track:7ajnitQVYIKKXFaVUZOSEW,mama do the hump,rizzle kicks,2011,false,0.719,0.889,0.127,0.00722,0.0731,0.562,97.987,216.01,uk hip hop
spotify:track:38Q8bp8VfCzCWWa0lPzCnB,down with the trumpets,rizzle kicks,2011,false,0.754,0.877,0.079,0.0876,0.219,0.771,115.021,186.85,uk hip hop
spotify:track:3e4wCtTSt83Cu2hFVioW4f,nu flow,big brovaz,2003,false,0.782,0.755,0.112,0.0873,0.361,0.742,148.04,201.48,uk garage
spotify:track:0AKBmfNLV4tlwIph8UadI0,baby boy,big brovaz,2003,false,0.725,0.585,0.0607,0.119,0.0732,0.59,94.023,240.55,uk garage
spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,rasputin,"majestic, boney m.",2021,false,0.758,0.913,0.113,0.00364,0.193,0.658,128.04,186.21,"uk dance,europop"
spotify:track:055Mme9ReKK99jRFA5UJ55,get out my head,shane codd,2020,false,0.693,0.913,0.0298,0.0542,0.231,0.795,123.989,204.93,uk dance
spotify:track:3iw6V4LH7yPj1ESORX9RIN,wellerman - sea shanty / 220 kid x billen ted remix,"nathan evans, 220 kid",2021,false,0.722,0.893,0.0475,0.0441,0.0673,0.439,119.932,116.75,uk dance
spotify:track:2Cb2ZghHqyyVekpJwCHP6J,"1, 2 step","marty guilfoyle, john gibbons",2020,false,0.814,0.832,0.0305,0.0432,0.0797,0.8,128.028,160.57,uk dance
spotify:track:40SBS57su9xLiE1WqkXOVr,afraid to feel,lf system,2022,false,0.578,0.912,0.114,0.0166,0.273,0.68,127.87,177.52,uk dance
spotify:track:50Lf1pAMJqgnERsUK1hzG6,sleepwalking,elderbrook,2018,false,0.831,0.581,0.0508,0.00925,0.176,0.786,121.954,185.5,uk dance
spotify:track:3DTqHfTGj1c6y2gDXsTez4,regardless,"raye, rudimental",2020,false,0.749,0.82,0.0478,0.0205,0.0775,0.534,120.066,197.57,"uk contemporary r&b,uk pop,pop dance,uk dance,uk funky"
spotify:track:72b7GzsnUAjsk5I56hLkjp,flip a switch. (feat. coi leray) - remix,"raye, coi leray",2023,true,0.697,0.538,0.0455,0.0422,0.208,0.49,94.049,201.36,"uk contemporary r&b,uk pop,new jersey underground rap,trap queen"
spotify:track:2VOZniNxFIDl8ydLltrMNb,escapism.,"raye, 070 shake",2022,true,0.538,0.742,0.114,0.138,0.0934,0.25,96.107,272.37,"uk contemporary r&b,uk pop,new jersey rap"
spotify:track:5CO4uJ11ZVKhsO2Lu9NUSk,natalie don't,raye,2020,false,0.807,0.533,0.0443,0.176,0.284,0.853,124.006,194.35,"uk contemporary r&b,uk pop"
spotify:track:2Hvc7KrkQo8bdLbOdDNOk5,home,"naughty boy, rømans",2013,false,0.618,0.732,0.0602,0.00631,0.0729,0.27,100.015,205.06,"uk contemporary r&b,uk pop"
spotify:track:4aiLpwwZw5Ek9KkBMnt6Zu,should've been me,"naughty boy, kyla, popcaan",2016,false,0.579,0.808,0.182,0.0174,0.284,0.679,183.92,244.04,"uk contemporary r&b,uk funky,dancehall,jamaican hip hop,reggae fusion,traphall"
spotify:track:1Io2c7n2X482pub65MOZPG,la la la,"naughty boy, sam smith",2013,false,0.772,0.644,0.0312,0.11,0.0905,0.256,125.088,222.2,"uk contemporary r&b,pop,uk pop"
spotify:track:0ZciUwSSqAqYzWBPUBK9Su,one chance to dance,"naughty boy, joe jonas",2017,false,0.603,0.783,0.031,0.107,0.0886,0.332,103.974,204.48,"uk contemporary r&b,pop,post-teen pop"
spotify:track:4ymsAGWOmrWYmQ5nbzgeYC,never be your woman - shy fx radio edit,"naughty boy, wiley, emeli sandé, shy fx",2010,false,0.663,0.877,0.0538,0.00318,0.124,0.388,135.989,146.91,"uk contemporary r&b,grime,uk dancehall,uk hip hop,r&b,talent show,uk pop,drum and bass,jungle,ragga jungle"
spotify:track:2gkyOTZQJ7mWf32KK0zEXc,the trouble with us,"marcus marr, nick murphy",2015,false,0.828,0.735,0.0636,0.323,0.159,0.835,121.094,222.07,"uk alternative pop,australian electropop,downtempo,indietronica"
spotify:track:6zQFzZnkHTE01QwGp11i9y,breathe life,jack garratt,2016,false,0.607,0.597,0.125,0.00276,0.109,0.252,103.939,262.85,uk alternative pop
spotify:track:65T3cyeoayN4NeasBEGWbj,symphonies feat kid cudi,dan black,2010,false,0.565,0.433,0.032,0.00811,0.0868,0.68,86.995,222.71,uk alternative pop
spotify:track:6UbNrW8X1v4oOR29vzSVqX,one day at a time,"thierry von der warth, jay mason",2023,false,0.713,0.741,0.033,0.224,0.117,0.526,122.133,151.63,"tropical house,tropical house"
spotify:track:2df5QsXucx4VLiHNGusXD5,macarena - bayside boys remix,los del rio,2001,false,0.737,0.93,0.0534,0.237,0.0911,0.965,103.191,253.11,tropical
spotify:track:0EJ3Kofm9hYq3hL4VZ881G,big energy (feat. dj khaled) - remix,"latto, mariah carey, dj khaled",2022,false,0.87,0.775,0.0865,0.0421,0.14,0.792,106.001,181.66,"trap queen,dance pop,pop,urban contemporary,hip hop,miami hip hop,pop rap,rap"
spotify:track:35h2plG9OUFTznGdTGWraS,leaving your keys,fakebitcheshero,2021,true,0.768,0.723,0.113,0.091,0.126,0.174,152.007,103.03,trap queen
spotify:track:0zjORbo98bRxMmyS3wzeKW,don't give up,"chicane, bryan adams",2016,false,0.644,0.719,0.0415,0.00143,0.0839,0.531,132.011,210.79,"trance,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock"
spotify:track:6tgjFqAUj3pY9vNihBMwT6,old rivers,"walter brennan, the johnny mann singers",1962,false,0.578,0.446,0.0435,0.771,0.231,0.671,118.365,170.8,traditional country
spotify:track:2AANsUZFwuDP4CePq3fQnw,what you waitin' for,"ray parker jr., raydio",1979,false,0.861,0.415,0.109,0.00317,0.0341,0.58,105.626,251.28,"theme,yacht rock"
spotify:track:69rqnL1uOJ9c2rsRaGDs58,jack and jill,"ray parker jr., raydio",2018,false,0.694,0.458,0.0295,0.0853,0.206,0.386,106.014,275.21,"theme,yacht rock"
spotify:track:7ubq5fqmcPhfg1Q8s3HbbA,the other woman,ray parker jr.,1982,false,0.909,0.544,0.0529,0.139,0.457,0.962,125.918,247.96,theme
spotify:track:300zfRaCgTmEm5Eqe3HqZZ,ghostbusters,ray parker jr.,2000,false,0.779,0.717,0.0335,0.0125,0.355,0.789,115.384,240.8,theme
spotify:track:569uHYIB0X324FZOBEhvit,ghostbusters,ray parker jr.,1993,false,0.778,0.719,0.0345,0.0123,0.297,0.729,115.4,239.13,theme
spotify:track:7iXYRR70wewzVYzWScm99j,"gonna fly now - theme from ""rocky""",bill conti,1976,false,0.434,0.722,0.0351,0.462,0.05,0.453,95.637,167.53,theme
spotify:track:7gDQdfMgNwlSkqG1YbbIvN,and i am telling you (with nicole scherzinger),"sam bailey, nicole scherzinger",2014,false,0.354,0.757,0.0461,0.202,0.273,0.246,118.221,260.01,"talent show,uk pop,dance pop,pop,post-teen pop"
spotify:track:2IFl6p0LoIfIZOn5IaxZOO,sax,fleur east,2015,false,0.728,0.892,0.126,0.0144,0.469,0.826,117.976,236.44,"talent show,uk pop"
spotify:track:5hHMcyWj45QaN2YEuBm6lr,this ain't a love song - radio edit,scouting for girls,2013,false,0.465,0.908,0.0449,0.000537,0.0929,0.573,176.742,188.59,talent show
spotify:track:7HD8pjfVgvWgIfkzELtCuH,don't want to leave you,scouting for girls,2008,false,0.448,0.766,0.0429,0.104,0.0438,0.325,178.125,178.6,talent show
spotify:track:2tNE4DP5nL85XUJv1glO0a,this ain't a love song,scouting for girls,2017,false,0.458,0.905,0.0451,0.000431,0.378,0.553,176.667,210.68,talent show
spotify:track:7pszcrE10CThu1inqXw2R4,nothing's real but love,rebecca ferguson,2011,false,0.45,0.494,0.0389,0.533,0.0517,0.354,143.988,173.63,talent show
spotify:track:4vkVvmjIiQibQ6zJnC1Q9z,sucker for you,matt terry,2017,false,0.874,0.649,0.0833,0.218,0.337,0.712,95.004,203.81,talent show
spotify:track:4o5AS9PNLnSNru7XQsjesQ,unchained melody,gareth gates,2003,false,0.368,0.426,0.0277,0.255,0.108,0.208,106.52,233.67,talent show
spotify:track:5S4J5QVt1X0ZACiPOrOCoq,happiness,alexis jordan,2011,false,0.711,0.748,0.131,0.133,0.461,0.489,127.99,243.67,talent show
spotify:track:2zX22RoaGg8KGuNCzSBwBP,happiness,alexis jordan,2010,false,0.718,0.768,0.115,0.115,0.565,0.483,127.949,242.79,talent show
spotify:track:1qPc4YcES848qyRBo3fa80,lucky number,lene lovich,2005,false,0.669,0.733,0.0494,0.0205,0.042,0.833,153.778,171.09,"synthpop,zolo"
spotify:track:0FBeVAGy58YREuZK2rpRVm,pop muzik - 12 inch version,"m, robin scott, nick launay",1979,false,0.94,0.727,0.0358,0.124,0.0808,0.969,110.8,296.47,"synthpop,psychedelic folk"
spotify:track:559sRyyz7AJOWopCQ7yxao,al di là,emilio pericoli,2016,false,0.32,0.301,0.0293,0.682,0.123,0.217,84.918,197.14,swing italiano
spotify:track:64OX6KtI0nBHaUQmQJDnmg,undressed,kim cesarion,2014,false,0.804,0.784,0.0306,0.109,0.196,0.652,119.949,219.73,"swedish pop,swedish soul"
spotify:track:0jQvysmjtBMRNjmHLe3gZK,undressed,kim cesarion,2014,true,0.805,0.834,0.0306,0.145,0.201,0.642,119.966,222,"swedish pop,swedish soul"
spotify:track:5PVl9I23A7m6ovO6JLQ43E,i love this life,kim cesarion,2014,false,0.499,0.702,0.0316,0.000384,0.203,0.35,140.007,229.92,"swedish pop,swedish soul"
spotify:track:4Vs8RLrUdDXeaZbNeIOrtn,dancing in the moonlight (feat. neimy),"jubël, neimy",2018,false,0.662,0.614,0.0645,0.28,0.187,0.198,119.842,164.01,"swedish pop,scandipop,tropical house"
spotify:track:5MhsZlmKJG6X5kTHkdwC4B,i'm an albatraoz,"aronchupa, little sis nora",2014,true,0.883,0.817,0.235,0.601,0.11,0.595,128.078,166.85,"swedish pop,melbourne bounce international"
spotify:track:5U2yUQc2yUoQuH4ACPbcWq,busted,claes janson,2009,false,0.466,0.43,0.0461,0.704,0.0966,0.775,183.77,189.17,swedish jazz
spotify:track:5XMjXjwCkJVmk0AHm7z8IV,jerk it out,caesars,2002,false,0.58,0.981,0.06,0.0171,0.386,0.861,134.007,195.67,swedish indie rock
spotify:track:1mvZErZBp7WZT3HfGBykao,cry for you,september,2007,false,0.768,0.881,0.0301,0.00133,0.0551,0.961,130.016,209.8,"swedish electropop,swedish pop"
spotify:track:6h3fhY6QGo6TWBctqmVqZv,release me,agnes,2010,false,0.617,0.911,0.0362,0.00597,0.0934,0.657,127.995,210.43,"swedish electropop,swedish idol pop,swedish pop"
spotify:track:0X6fWeGBZDks4SbLPy7nuB,judy in disguise (with glasses),john fred and his playboy band,2012,false,0.638,0.818,0.132,0.0386,0.118,0.922,82.289,174.74,swamp pop
spotify:track:4oW1lGOw5Q5OLvoJv92qoE,i can help,billy swan,1998,false,0.471,0.675,0.0513,0.511,0.232,0.53,125.313,238.33,swamp pop
spotify:track:4w8QvjM1Nr344937eMBrgn,"walk, don't run",the ventures,2008,false,0.423,0.88,0.0319,0.202,0.299,0.96,155.968,126.48,surf music
spotify:track:4SDGb2V6J2rEbxNujwNeMl,wipe out,the surfaris,2005,false,0.461,0.955,0.0489,0.111,0.952,0.725,160.073,166.09,surf music
spotify:track:5oOFzaO8nJdDnFoSUax19p,daisy petal pickin',"the fireballs, jimmy gilmer",2009,false,0.721,0.805,0.048,0.0278,0.0495,0.885,135.679,134.81,surf music
spotify:track:0wegjSmMmGyIt8hr0KCu9u,bottle of wine,the fireballs,2009,false,0.65,0.8,0.0321,0.00849,0.0678,0.956,136.2,130.23,surf music
spotify:track:20QOF5xJItVcHSwCv6CVqz,pipeline,the chantays,2014,false,0.444,0.552,0.0354,0.676,0.165,0.805,152.575,142.78,surf music
spotify:track:5fJQ4FP7EL6Y89edK6P71F,the crusher,the atlantics,2005,false,0.425,0.862,0.0518,8.5e-05,0.153,0.655,162.862,184.23,surf music
spotify:track:2QZvMncP3hoLfHJXq4218n,sugar shack,"jimmy gilmer, the fireballs",2014,false,0.792,0.737,0.0549,0.397,0.0628,0.952,133.931,120.08,surf music
spotify:track:2BY7ALEWdloFHgQZG6VMLA,brandy (you're a fine girl),looking glass,1972,false,0.716,0.625,0.0601,0.396,0.134,0.826,125.276,186.83,sunshine pop
spotify:track:6DDoFN7yNQmL2YXojqAk8S,l.i.f.e.g.o.e.s.o.n.,noah and the whale,2011,false,0.608,0.745,0.0354,0.205,0.342,0.595,82.003,226.95,stomp and holler
spotify:track:6lazLV13sV8VNGJTjL4Zeu,black is black,los bravos,2000,false,0.575,0.843,0.0584,0.239,0.0764,0.858,128.169,176.6,spanish invasion
spotify:track:20JcxdRw8gvqTY1EEpYxHb,misty blue,dorothy moore,1976,false,0.394,0.243,0.0302,0.658,0.085,0.504,173.365,222.4,southern soul
spotify:track:3MFa9idQuY4iJLWsZl3tIQ,young hearts run free,candi staton,1976,false,0.654,0.652,0.0426,0.13,0.202,0.846,115.389,248.36,southern soul
spotify:track:6Zkq3yk1qrNovJr7YwycAA,sweet soul music,arthur conley,2007,false,0.59,0.659,0.0697,0.104,0.356,0.965,80.201,141.07,southern soul
spotify:track:6kooDsorCpWVMGc994XjWN,black betty,ram jam,1977,false,0.465,0.907,0.113,0.0241,0.13,0.681,117.293,238.97,southern rock
spotify:track:2ZOTtG7v1OrSNs6EINIGb4,black betty,ram jam,1990,false,0.465,0.865,0.098,0.018,0.0769,0.677,117.528,237.89,southern rock
spotify:track:1nltT2YKKlDxaZmBOS28pN,talk to me,sunny & the sunglows,2015,false,0.482,0.489,0.0366,0.844,0.613,0.672,122.035,164.6,souldies
spotify:track:6QZFBZNz0vIDwBsGC6sDSd,angel baby,rosie & the originals,1993,false,0.351,0.177,0.0323,0.85,0.113,0.447,196.986,227.62,souldies
spotify:track:5vk9PL1tTyWrQY3TqRq2Rg,patches,clarence carter,1970,false,0.639,0.544,0.141,0.617,0.479,0.793,80.844,193.83,"soul,southern soul"
spotify:track:0rTkE0FmT4zT2xL6GXwosU,i got you (i feel good),james brown & the famous flames,1966,false,0.608,0.471,0.0945,0.446,0.369,0.682,70.702,165.8,soul
spotify:track:36XJWjuNKBax6KqdzpH7Wb,homosapien,pete shelley,1981,false,0.603,0.872,0.0577,0.00121,0.754,0.686,132.82,275.84,"solo wave,synthpop,uk post-punk"
spotify:track:5bbgiWfaHG6Vruyg3OWQuU,overkill - acoustic version,colin hay,2003,false,0.725,0.259,0.0382,0.843,0.112,0.2,133.849,227.4,solo wave
spotify:track:41sGGCCoHI2GLV9qadX80A,baby come back,player,1977,false,0.646,0.602,0.0758,0.0599,0.0956,0.543,156.101,255.84,"soft rock,yacht rock"
spotify:track:4lgZJvM3yx4jdfRRUjDG3I,a little bit of soap,paul davis,1971,false,0.736,0.262,0.0473,0.649,0.148,0.738,126.596,152.76,"soft rock,yacht rock"
spotify:track:0eRs6SGN3HsETmKTm1h4Xs,love will find a way,pablo cruise,2011,false,0.653,0.837,0.0666,0.103,0.798,0.632,124.678,374.36,"soft rock,yacht rock"
